ACG 2021, Principles of Financial Accounting
MAE 6906,Ind Study Mathematics Ed
MAE 7910,Dir Rsch Mth Ed
MAE 7910,Dir Rsch Mth Ed
MAE 7910,Dir Rsch Mth Ed
SCE 7910,Directed Research: Sci Educ.
SCE 7910,Directed Research: Sci Educ.
SSE 6906,Ind Study: Soc Sci Educ
SSE 6906,Ind Study: Soc Sci Educ
SSE 7910,Dir Rsch Soc Sci Ed
SSE 7910,Dir Rsch Soc Sci Ed
EDG 7910,Directed Research
EDG 7910,Directed Research
EDG 7931,Ethnography
EME 6906,Ind Study: Instructional Tech.
EDF 7910,Dir Rsch: Measurement & Eval
EDF 7910,Dir Rsch: Measurement & Eval
EDF 7910,Dir Rsch: Measurement & Eval
EDF 7910,Dir Rsch: Measurement & Eval
EDF 7910,Dir Rsch: Measurement & Eval
EDF 7910,Dir Rsch: Measurement & Eval
EDF 7910,Dir Rsch: Measurement & Eval
EDF 7910,Dir Rsch: Measurement & Eval
EDF 7930,Professional Seminar
EDF 7946,Sup Exper in College Teaching Permit Required
EDF 7947,Research Practicum
EDF 7947,Research Practicum
EDF 7947,Research Practicum
EDF 7947,Research Practicum
EDF 7947,Research Practicum
EDG 6931,Cogn & Biobehavorial
EDG 7910,Directed Research
EDG 7910,Directed Research
EDG 7910,Directed Research
EDG 7910,Directed Research
EDG 7910,Directed Research
EDF 6166,Consult Skills Staff Dev
EDG 6975,Project: Master's/Specialist
EDG 6975,Project: Master's/Specialist
EDG 6975,Project: Master's/Specialist
EDG 6975,Project: Master's/Specialist
EDG 6975,Project: Master's/Specialist
EDG 7931,Advanced Practicum
EDG 7931,Advanced Practicum
EDG 7931,Advanced Practicum
EDG 7931,Advanced Practicum
EDG 7931,Advanced Practicum
EDG 7931,Advanced Practicum Permit Required 974-3246
EDG 7931,Adv Pract: Ped Sch Ps
EDG 7931,Adv Pract: Child & Adol Psy Permit required contact:sdickinson@usf.edu
SPS 6936,Grad Seminar in Sch Psych
SPS 6940,Pract in Psych-ed Interven
SPS 6945,Intro to Sch Psy Pract
SPS 6947,Internship Ed.S. Sch Psych
SPS 6947,Internship Ph.D. Sch Psych
SPS 7910,Dir Rsch: Sch Psychology
SPS 7910,Dir Rsch: Sch Psychology
SPS 7910,Dir Rsch: Sch Psychology
SPS 7910,Dir Rsch: Sch Psychology
SPS 7910,Dir Rsch: Sch Psychology
SPS 7910,Dir Rsch: Sch Psychology
SPS 7910,Dir Rsch: Sch Psychology
SPS 7910,Dir Rsch: Sch Psychology
PET 3384L,Exercise Testing & Prescript PED 113
PET 3384L,Exercise Testing & Prescript PED 113
PET 4550L,Clinical Exercise Laboratory
PET 4550L,Clinical Exercise Laboratory
PET 4550L,Clinical Exercise Laboratory PED 113
PET 4550L,Clinical Exercise Laboratory PED 113
PET 4550L,Clinical Exercise Laboratory PED 113
EDG 6931,Selected Topics in Education
EDG 7910,Directed Research For students in EDD program. Permit required. Please send U# and CRN to Julie at jschenk@usf.edu.
EDG 7910,Directed Research For students in EDD program. Permit required.  Please send U# and CRN to Julie at jschenk@usf.edu.
EDG 7910,Directed Research For students in EDD program. Permit required.  Please send U# and CRN to Julie at jschenk@usf.edu.
EDG 7910,Directed Research For students in EDD program. Permit required.  Please send U# and CRN to Julie at jschenk@usf.edu.
EDG 7910,Directed Research For students in EDD program. Permit required. Please send U# and CRN to Julie at jschenk@usf.edu.
EDG 7910,Directed Research For students in EDD program. Permit required. Please send U# and CRN to Julie at jschenk@usf.edu.
EDG 7910,Directed Research For students in EDD program. Permit required. Please send U# and CRN to Julie at jschenk@usf.edu.
EDG 7910,Directed Research For students in EDD program. Permit required. Please send U# and CRN to Julie at jschenk@usf.edu.
EDG 7910,Directed Research For students in EDD program. Permit required. Please send U# and CRN to Julie at jschenk@usf.edu.
EDG 7910,Directed Research
EEX 7425,SPED Leadership Studies
EEX 7815,Research Seminar
EEX 7910,Directed Research Permit required. Please send U# and CRN to Julie at jschenk@usf.edu.
EEX 7910,Directed Research Permit required. Please send U# and CRN to Julie at jschenk@usf.edu.
EEX 7910,Directed Research Permit required. Please send U# and CRN to Julie at jschenk@usf.edu
RED 7938,Advanced Graduate Seminar
TSL 7910,Directed Research in SLA Permit required. Please send U# and CRN to Lili Coleman at lilianacoleman@usf.edu
TSL 7910,Directed Research in SLA Permit required. Please send U# and CRN to Lili Coleman at lilianacoleman@usf.edu
ADE 7910,Direct Research in Adult Ed S/U Only
EDA 6910,Directed Research
EDG 6906,Independent Study
EDG 7910,Directed Research
EDH 7910,Directed Research
ARH 6055,Art History
ARH 6055,Art History
ARH 6055,Art History
ARH 6055,Art History
ARH 6055,Art History
ART 4905,Directed Study
ART 4905,Directed Study
ART 6937,Grad Instructional Methods
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ART 6940,Directed Study
ARC 5931,Independent Study Permit Required contact sacd-coursepermits@usf.edu
ARC 5931,Independent Study Permit Required contact sacd-coursepermits@usf.edu
ARC 5931,Independent Study Permit Required contact sacd-coursepermits@usf.edu
MUE 1111,Keyboard Skills Music Educ I
MUE 1111,Keyboard Skills Music Educ I
MUE 1111,Keyboard Skills Music Educ I
MUE 3414,Crtve Perform Chamber Ensemb I
MUE 3421,Choral Techniques
MUE 3422,Wind Techniques
MUE 3423,String Techniques
MUE 3475,Percussion Techniques
MUE 4936,Senior Seminar in Music Educ
MUE 7939,Seminar Music Educ Research
MUN 1110,University Marching Band
MUN 3143,Wind Ensemble
MUN 3143,Wind Ensemble [SYMPHONIC BAND]
MUN 3143,Wind Ensemble [CONCERT BAND]
MUN 3213,University Orchestra
MUN 3313,University Singers
MUN 3343,Chamber Singers
MUN 3343,Chamber Singers [Jazz Vocal Ensemble]
MUN 3383,Master Chorale
MUN 3411,String Quartet
MUN 3411,String Quartet
MUN 3411,String Quartet
MUN 3424,Woodwind Quintet
MUN 3424,Woodwind Quintet [Saxophone Ensemble]
MUN 3424,Woodwind Quintet [Saxophone Quartet]
MUN 3427,Flute Choir
MUN 3433,Brass Choir [Trombone Ensemble]
MUN 3433,Brass Choir [Tuba / Euphonium Ensemble]
MUN 3443,Percussion Ensemble
MUN 3453,Piano Ensemble
MUN 3474,Collegium Musicum
MUN 3713,Jazz Ensemble
MUN 3713,Jazz Ensemble [Deuce]
MUN 3714,Jazz Chamber Ensemble
MUN 3714,Jazz Chamber Ensemble
MUN 3714,Jazz Chamber Ensemble
MUN 3714,Jazz Chamber Ensemble [Jazztet]
MUN 3714,Jazz Chamber Ensemble [Bone Band 1]
MUN 3714,Jazz Chamber Ensemble [Bone Band 2]
MUN 6135,Symphonic Band
MUN 6145,Wind Ensemble
MUN 6145,Wind Ensemble [Concert Band]
MUN 6215,University Orchestra
MUN 6315,University Singers
MUN 6345,Chamber Singers
MUN 6345,Chamber Singers [Jazz Vocal Ensemble]
MUN 6416,String Quartet
MUN 6416,String Quartet
MUN 6416,String Quartet
MUN 6429,Woodwind Quintet
MUN 6429,Woodwind Quintet [Flute Choir]
MUN 6429,Woodwind Quintet [Saxophone Ensemble]
MUN 6429,Woodwind Quintet [Saxophone Quartet]
MUN 6435,Brass Choir [Trombone Ensemble]
MUN 6435,Brass Choir [Tuba / Euphonium Ensemble]
MUN 6445,Percussion Ensemble
MUN 6455,Piano Ensemble
MUN 6455,Piano Ensemble [Graduate Chamber Music]
MUN 6455,Piano Ensemble [Graduate Chamber Music]
MUN 6455,Piano Ensemble [Graduate Chamber Music]
MUN 6715,Jazz Ensemble
MUN 6715,Jazz Ensemble [Deuce]
MUN 6716,Jazz Chamber Ensemble [Graduate Combo 1]
MUN 6716,Jazz Chamber Ensemble [Graduate Combo 2]
MUN 6716,Jazz Chamber Ensemble [Graduate Combo 3]
MUN 6716,Jazz Chamber Ensemble [Jazztet]
MUN 6716,Jazz Chamber Ensemble [Bone Band 1]
MUN 6716,Jazz Chamber Ensemble [Bone Band 2]
MUO 3503,Opera Workshop
MUO 6505,Opera Workshop
MUS 2201,Language Diction For Singers [Italian FA23 / French SP24 / German FA24; Italian is pre-req for French/German]
MUS 3351,Commercial Music Techniques [Digital Audio Workstation]
MUS 3351,Commercial Music Techniques [Keyboard[
MUS 3351,Commercial Music Techniques [Guitar]
MUS 3352,Seminar in Commercial Music
MUS 4905,Collaborative Arts Production
MUS 4905,Voice Lesson - Musical Theatre Workshop [Days/Times TBD - Students schedule lessons with instructor]  https://www.usf.edu/arts/advising/permits.aspx
MUS 4905,Pop Voice Study
MUS 4905,Electroacoustic Music
MUS 4905,Percussion Studio/Lessons
MUS 4905,Chamber Ensemble for Piano
MUS 4905,Voice Lesson - Musical Theatre Workshop [Days/Times TBD - Students schedule lessons with instructor]  https://www.usf.edu/arts/advising/permits.aspx
MUS 4930,Holly Drive Collective [Commercial Music Ensemble]
MUS 4930,Handbell Ensemble
MUS 5905,Holly Drive Collective
MUS 5905,Projects: Chamber Music
MUS 5905,Projects: Chamber Music
MUS 5905,Projects: Chamber Music
MUS 5905,Graduate Chamber Music
MUS 5905,Graduate Chamber Music
MUS 5905,Graduate Chamber Music
MUS 5905,Handbell Ensemble
MUS 5905,Advanced Orchestral Conducting
MUS 5905,Orchestral Conducting
MUS 5905,Commercial Music Techniques [Digital Audio Workstation]
MUS 5905,Collaborative Arts Production
MUS 5905,Voice Anatomy Research
MUS 5905,Curriculum Development
MUS 5905,Extended Techniques for Piano
MUS 5905,Wind Band Literature
MUS 5905,Wind Band Conducting
MUS 5905,Music Instrument Repair
MUS 5905,Music Therapy for Artists
MUS 5905,Orchestral Conducting
MUS 6910,Directed Research
MUS 6910,Directed Research
MUS 6910,Directed Research
MUS 6910,Directed Research
MUS 6910,Directed Research
MUT 1241,Aural Theory I
MUT 1241,Aural Theory I
MUT 1241,Aural Theory I
MUT 1241,Aural Theory I
MUT 2246,Aural Theory III
MUT 2246,Aural Theory III
MUT 2246,Aural Theory III
DAA 3109,Contemporary Dance III Audition & Permit Required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAA 3209,Ballet III Audition & Permit Required  - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAA 3294,Ballet Variations Low Pointe permit required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAA 3294,Ballet Variations Advanced Pointe & Partnering permit required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAA 3686,Junior Performance Project permit required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAA 4110,Contemporary Dance IV Audition & Permit Required  - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAA 4211,Ballet IV Audition & Permit Required  - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAA 4687,Performance 1st Year permit required - email theatreanddance@usf.edu https://www.usf.edu/arts/advising/permits.aspx
DAA 4687,Performance Past Performance Credits - permit required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAA 4687,Performance Past Performance Credit permit required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAA 4687,Performance Past Performance Credit permit required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAA 4687,Performance Fall Dance Concert 2024 permit required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAA 4694,Senior Choreography Project permit required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
DAN 4906,Directed Study permit required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
THE 2023,Entry Seminar Theatre permit required - email theatreanddance@usf.edu https://www.usf.edu/arts/advising/permits.aspx
THE 4930,Selected Topics In Theatre  Voice Lesson- Musical Theatre Workshop - Times & Days TBD - Students schedule lessons with Instructor
THE 4930,Selected Topics In Theatre Voice Lesson- Musical Theatre Workshop - Times & Days TBD - Students schedule lessons with Instructor
TPA 2290L,Technical Theatre Lab I permit required - email theatreanddance@usf.edu
TPA 2290L,Technical Theatre Lab I permit required - email theatreanddance@usf.edu
TPA 2292,Production Involvement I permit required - email theatreanddance@usf.edu
TPA 4293,Production Involvement II shops - permit required - email theatreanddance@usf.edu
TPA 4293,Production Involvement II cast & stage management - permit required - email theatreanddance@usf.edu
TPP 2190,Studio Theatre Performance I crew - permit required - email theatreanddance@usf.edu https://www.usf.edu/arts/advising/permits.aspx
TPP 2190,Studio Theatre Performance I cast & stage management - permit required - email theatreanddance@usf.edu https://www.usf.edu/arts/advising/permits.aspx
TPP 4193,Studio Theatre Performance II crew - permit required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
TPP 4193,Studio Theatre Performance II cast & stage management - permit required - email theatreanddance@usf.edu  https://www.usf.edu/arts/advising/permits.aspx
IDS 6940,Cooperative Internship
IDS 6940,Cooperative Internship
IDS 6940,Cooperative Internship
IDH 2930,Peer Mentorship II
IDH 2930,Backstage Pass to Health
IDH 2930,Honors Botanical Garden This class will meet at the USF Botanical Gardens.
IDH 2930,Honors Chorus
IDH 4910,Honors Undergraduate Research
IDS 3947,Internship Internship (Honors College students only). You must already have an internship position confirmed to request registration. Permit Request  (hyperlinked https://usf.az1.qualtrics.com/jfe/form/SV_bygv8ezU1gurqqW Internship should run between Sept. 5 - Dec. 7 2023.
MEL 9995,Med Prof I - CORE 2027
MEL 9995,Med Prof I - SLCT 2027
MEL 9996,Med Prof II - CORE 2026
MEL 9996,Med Prof II - SLCT 2026
MEL 9997,Med Prof III - CORE 2025
MEL 9997,Med Prof III - SLCT 2024
MEL 9998,Med Prof IV - CORE 2024
MEL 9998,Med Prof IV - SLCT 2024
GMS 6091,Responsible Research Ph.D. Students Only.
GMS 6612,Supervised Teach-Human Anatomy Permit required. M.S.M.S. Anatomy students only.  To obtain a permit please complete the request form: https://usf.az1.qualtrics.com/jfe/form/SV_bJyrjFj4dnxVnxQ
GMS 6612,Supervised Teach-Human Anatomy Permit required. M.S.M.S. Anatomy students only.  To obtain a permit complete a request here: https://usf.az1.qualtrics.com/jfe/form/SV_bJyrjFj4dnxVnxQ
GMS 6612,Supervised Teach-Human Anatomy Permit required. M.S.M.S. Anatomy students only.  To obtain a permit for the course complete a request: https://usf.az1.qualtrics.com/jfe/form/SV_bJyrjFj4dnxVnxQ
GMS 6908,Med Sci Independent Study MSMS Women's Health Concentration Only
GMS 6908,Med Sci Independent Study Permit required. M.S.M.S. Anatomy students only.  To obtain a permit for this course please complete a request here: https://usf.az1.qualtrics.com/jfe/form/SV_bJyrjFj4dnxVnxQ
GMS 6908,Med Sci Independent Study Permit required. M.S.M.S. Molecular Medicine Students Only.  To request a permit please complete this form: https://usf.az1.qualtrics.com/jfe/form/SV_bJyrjFj4dnxVnxQ
GMS 6940,Super Teaching Molecular Med For permission please contact Dr. Gamsby at gamsby@usf.edu
GMS 6940,Super Teaching Molecular Med For permission please contact Dr. Dave: vrushankdave@usf.ed
GMS 6942,Lab Rotations in Biomed. Sci Medical Sciences Ph.D. students only.
GMS 6942,Lab Rotations in Biomed. Sci Permit required. M.S.M.S. Molecular Medicine students only.  To request a permit for this course complete this form: https://usf.az1.qualtrics.com/jfe/form/SV_bJyrjFj4dnxVnxQ
GMS 7910,Directed Research Ph.D. Molecular Medicine Students Only
GMS 7910,Directed Research Ph.D. Molecular Pharmacology/Physiology Students Only
GMS 7910,Directed Research
GMS 7910,Directed Research Ph.D. Neuroscience Students Only
GMS 7910,Directed Research Ph.D. Allergy Immuno ID Students Only
GMS 7910,Directed Research
GMS 7910,Directed Research Permit required. M.S.M.S. Aging & Neuroscience Only  To request a permit complete this form: https://usf.az1.qualtrics.com/jfe/form/SV_bJyrjFj4dnxVnxQ
